case_id,painting_id,mask_id,mask_type,model_name,algorithm,inpaint_radius,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,restored_filename,restored_path,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,error_map_figure_path
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,p003_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_mixed_damage_mask.png,p003_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_mixed_damage_damaged.png,p003_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_mixed_damage_restored_opencv_telea.png,48680,10.3234,8.2533,ok,,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,33997.7265625,594.505126953125,33403.221435546875,180.81396484375,14.69663143157959,166.1173334121704,2.8163048424837185,20.389247565846045,17.572942723362328,0.3579643368721008,0.0521440245211124,0.3058203123509884,0.7892764806747437,0.9700350165367126,0.180758535861969,0.7852474451065063,0.9531616568565368,0.1679142117500305,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_mixed_damage_opencv_telea_error_maps.png
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,opencv_telea,cv2.INPAINT_TELEA,3,p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,p003_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_scratch_thin_mask.png,p003_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_scratch_thin_damaged.png,p003_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_scratch_thin_restored_opencv_telea.png,10496,2.2258,1.7795,ok,,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,36996.84765625,157.76744079589844,36839.0802154541,188.87643432617188,6.505113124847412,182.3713212013245,2.449156396068422,26.150629801293267,23.70147340522485,0.2528427243232727,0.0022690342739224,0.2505736900493502,0.8120349645614624,0.9996553659439088,0.1876204013824463,0.7849439978599548,0.998871684074402,0.213927686214447,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_scratch_thin_opencv_telea_error_maps.png
p004_loss_large,p004,p004_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p004_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p004_clean.png,p004_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p004_loss_large_mask.png,p004_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p004_loss_large_damaged.png,p004_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p004_loss_large_restored_opencv_telea.png,56801,11.8335,9.6302,ok,,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,36954.8828125,2166.282958984375,34788.599853515625,186.4700469970703,33.336483001708984,153.13356399536133,2.4540853144088817,14.77365177507782,12.319566460668938,0.4133918583393097,0.2612385153770447,0.152153342962265,0.8696917295455933,0.8622362613677979,-0.0074554681777954,0.8860812187194824,0.7463287115097046,-0.1397525072097778,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p004_loss_large_opencv_telea_error_maps.png
p004_loss_small,p004,p004_loss_small,loss_small,opencv_telea,cv2.INPAINT_TELEA,3,p004_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p004_clean.png,p004_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p004_loss_small_mask.png,p004_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p004_loss_small_damaged.png,p004_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p004_loss_small_restored_opencv_telea.png,16444,3.4258,2.788,ok,,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,27887.8671875,503.6512756347656,27384.215911865234,164.97093200683594,14.471681594848633,150.4992504119873,3.676650593705389,21.109504226099425,17.432853632394036,0.1360532641410827,0.0165276154875755,0.1195256486535072,0.9525346755981444,0.9983952045440674,0.0458605289459228,0.9798383116722108,0.9901309609413148,0.010292649269104,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p004_loss_small_opencv_telea_error_maps.png
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p004_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p004_clean.png,p004_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p004_mixed_damage_mask.png,p004_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p004_mixed_damage_damaged.png,p004_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p004_mixed_damage_restored_opencv_telea.png,47183,9.8298,7.9995,ok,,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,32467.486328125,637.8096313476562,31829.676696777344,175.5889129638672,15.037111282348633,160.55180168151855,3.016316945419671,20.083892877772787,17.067575932353115,0.3154430389404297,0.0525133684277534,0.2629296705126762,0.8854032754898071,0.9874294996261596,0.1020262241363525,0.8302417993545532,0.946446180343628,0.1162043809890747,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p004_mixed_damage_opencv_telea_error_maps.png
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,opencv_telea,cv2.INPAINT_TELEA,3,p004_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p004_clean.png,p004_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p004_scratch_thin_mask.png,p004_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p004_scratch_thin_damaged.png,p004_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p004_scratch_thin_restored_opencv_telea.png,9499,1.979,1.6105,ok,,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,32720.734375,145.4011688232422,32575.33320617676,171.96234130859375,7.144155502319336,164.8181858062744,2.982573185754991,26.505124632070363,23.52255144631537,0.2398073375225067,0.0021340337116271,0.2376733038108796,0.8961696028709412,0.9998584985733032,0.103688895702362,0.8411367535591125,0.9967936277389526,0.1556568741798401,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p004_scratch_thin_opencv_telea_error_maps.png
p005_loss_large,p005,p005_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p005_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p005_clean.png,p005_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p005_loss_large_mask.png,p005_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p005_loss_large_damaged.png,p005_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p005_loss_large_restored_opencv_telea.png,43712,10.0029,7.411,ok,,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,36366.3515625,1329.151123046875,35037.200439453125,186.7893829345703,26.117977142333984,160.67140579223633,2.52380628021972,16.89505998304361,14.37125370282389,0.433108925819397,0.2737326622009277,0.1593762636184692,0.8789923191070557,0.9145702123641968,0.0355778932571411,0.8305362462997437,0.8700402975082397,0.039504051208496,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p005_loss_large_opencv_telea_error_maps.png
p005_loss_small,p005,p005_loss_small,loss_small,opencv_telea,cv2.INPAINT_TELEA,3,p005_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p005_clean.png,p005_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p005_loss_small_mask.png,p005_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p005_loss_small_damaged.png,p005_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p005_loss_small_restored_opencv_telea.png,21814,4.9919,3.6984,ok,,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,42348.3828125,818.1032104492188,41530.27960205078,201.6292266845703,16.235475540161133,185.3937511444092,1.8624353059357128,19.002722639190683,17.14028733325497,0.2521321773529053,0.0223056022077798,0.2298265751451254,0.9317833781242372,0.9966922998428344,0.0649089217185974,0.9724296927452089,0.985317885875702,0.0128881931304931,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p005_loss_small_opencv_telea_error_maps.png
p005_mixed_damage,p005,p005_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p005_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p005_clean.png,p005_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p005_mixed_damage_mask.png,p005_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p005_mixed_damage_damaged.png,p005_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p005_mixed_damage_restored_opencv_telea.png,38316,8.7681,6.4962,ok,,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,37717.8046875,1114.3271484375,36603.4775390625,189.62454223632807,22.38708877563477,167.23745346069336,2.365339535748963,17.660676494708515,15.295336958959552,0.2632683217525482,0.0500730611383914,0.2131952606141567,0.8915131092071533,0.9687044620513916,0.0771913528442382,0.8820450305938721,0.9596636295318604,0.0776185989379882,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p005_mixed_damage_opencv_telea_error_maps.png
p005_scratch_thin,p005,p005_scratch_thin,scratch_thin,opencv_telea,cv2.INPAINT_TELEA,3,p005_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p005_clean.png,p005_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p005_scratch_thin_mask.png,p005_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p005_scratch_thin_damaged.png,p005_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p005_scratch_thin_restored_opencv_telea.png,5805,1.3284,0.9842,ok,,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,31585.240234375,459.1712341308594,31126.06900024414,172.9456787109375,13.745908737182615,159.19976997375488,3.1359617642186253,21.511056880318897,18.375095116100272,0.1556309759616851,0.0015308486763387,0.1541001272853464,0.9637832641601562,0.999792456626892,0.0360091924667358,0.96449476480484,0.9996200799942015,0.0351253151893615,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p005_scratch_thin_opencv_telea_error_maps.png
