scale_name,cmap,vmin,vmax,percentile,sampled_value_count,sample_region,random_seed,maximum_samples_per_case,sampled_case_count,mask_threshold,scale_runtime_seconds,spatial_schema_version,implementation_name
absolute_error,magma,0.0,255.0,99.5,1762550,masked,42,5000,355,127,57.06788530002814,2.0.0,restoration_eval.error_maps
signed_improvement,coolwarm,-253.3333282470703,253.3333282470703,99.5,1748790,masked,42,5000,355,127,57.06788530002814,2.0.0,restoration_eval.error_maps
