notebook,model_name,scale_name,cmap,vmin,vmax,percentile,sampled_value_count,sample_region,random_seed,maximum_samples_per_case,sampled_case_count,mask_threshold,spatial_schema_version,implementation,run_started_at_utc,created_at_utc,scale_elapsed_seconds,ready_case_count,nonzero_mask_case_count,zero_mask_case_count
16_lama_difference_maps,lama,absolute_error,magma,0.0,255.0,99.5,1800000,masked,42,5000,360,0,1.0.0,restoration_eval.error_maps,2026-07-28T10:53:06.469331+00:00,2026-07-28T11:09:57.501614+00:00,61.469,360,360,0
16_lama_difference_maps,lama,signed_improvement,coolwarm,-255.0,255.0,99.5,1800000,masked,42,5000,360,0,1.0.0,restoration_eval.error_maps,2026-07-28T10:53:06.469331+00:00,2026-07-28T11:09:57.501614+00:00,61.469,360,360,0
