base_mask_type,target_percentage_content,case_count,painting_count,mean_realised_percentage_content,standard_deviation_realised_percentage_content,minimum_realised_percentage_content,maximum_realised_percentage_content,mean_absolute_percentage_error_content,maximum_absolute_percentage_error_content
loss_large,2.0,5,5,2.0022742243310625,0.004709666263196767,1.9971169557566617,2.0070410529187126,0.004508145512947514,0.007041052918712598
loss_large,4.0,5,5,3.994236542880512,0.007035252946027945,3.9848070638511817,4.000674128250591,0.006033108419724176,0.015192936148818337
loss_large,6.0,5,5,5.9994383938142075,0.011560473638793894,5.984255660120022,6.0114131328073634,0.009441064754378559,0.015744339879978142
loss_large,8.0,5,5,7.997366712365457,0.011854969069017477,7.986341976950355,8.009995479947403,0.010581328783942112,0.013658023049645251
loss_large,10.0,5,5,10.003581073217934,0.012025448987808118,9.990452809601745,10.020731752364066,0.008964586307574152,0.02073175236406577
loss_large,15.0,5,5,14.990585324473198,0.010637997178879206,14.97832429322814,15.00398747637051,0.011009666075004176,0.021675706771860703
loss_large,20.0,5,5,20.007013811431122,0.014645281918398681,19.98660995589162,20.02557032428356,0.012369829074474125,0.025570324283560097
