figure_id,figure_type,title,related_case_id,relative_path,exists,size_bytes,notes
batch5_panel_12_canonical_p004_loss_large,selected_case_panel,Selected case panel: canonical__p004_loss_large,canonical__p004_loss_large,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_12_canonical_p004_loss_large.png,True,106690,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement; coverage_case"
batch5_panel_13_canonical_p040_loss_small,selected_case_panel,Selected case panel: canonical__p040_loss_small,canonical__p040_loss_small,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_13_canonical_p040_loss_small.png,True,113947,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement; coverage_case"
batch5_panel_14_canonical_p049_scratch_thin,selected_case_panel,Selected case panel: canonical__p049_scratch_thin,canonical__p049_scratch_thin,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_14_canonical_p049_scratch_thin.png,True,105265,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement; coverage_case"
batch5_panel_15_mask_robustness_p001_scratch_thin_variant_02,selected_case_panel,Selected case panel: mask_robustness__p001__scratch_thin__variant_02,mask_robustness__p001__scratch_thin__variant_02,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_15_mask_robustness_p001_scratch_thin_variant_02.png,True,106429,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement; coverage_case"
batch5_panel_16_canonical_p039_loss_large,selected_case_panel,Selected case panel: canonical__p039_loss_large,canonical__p039_loss_large,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_16_canonical_p039_loss_large.png,True,103673,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement"
batch5_panel_17_mask_robustness_p001_scratch_thin_variant_04,selected_case_panel,Selected case panel: mask_robustness__p001__scratch_thin__variant_04,mask_robustness__p001__scratch_thin__variant_04,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_17_mask_robustness_p001_scratch_thin_variant_04.png,True,119916,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement"
batch5_panel_18_canonical_p002_loss_large,selected_case_panel,Selected case panel: canonical__p002_loss_large,canonical__p002_loss_large,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_18_canonical_p002_loss_large.png,True,60587,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement; coverage_case"
batch5_panel_19_canonical_p010_mixed_damage,selected_case_panel,Selected case panel: canonical__p010_mixed_damage,canonical__p010_mixed_damage,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_19_canonical_p010_mixed_damage.png,True,160355,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement"
batch5_panel_20_canonical_p010_scratch_thin,selected_case_panel,Selected case panel: canonical__p010_scratch_thin,canonical__p010_scratch_thin,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_20_canonical_p010_scratch_thin.png,True,153812,"visual_review_reasons=flag_mixed_metric_winners, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement"
batch5_panel_21_canonical_p018_loss_small,selected_case_panel,Selected case panel: canonical__p018_loss_small,canonical__p018_loss_small,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_21_canonical_p018_loss_small.png,True,75227,"visual_review_reasons=flag_mixed_metric_winners, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement"
batch5_panel_22_canonical_p018_mixed_damage,selected_case_panel,Selected case panel: canonical__p018_mixed_damage,canonical__p018_mixed_damage,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_22_canonical_p018_mixed_damage.png,True,127398,"visual_review_reasons=flag_mixed_metric_winners, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement"
batch5_panel_23_canonical_p020_scratch_thin,selected_case_panel,Selected case panel: canonical__p020_scratch_thin,canonical__p020_scratch_thin,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_23_canonical_p020_scratch_thin.png,True,106007,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement"
batch5_panel_24_canonical_p021_loss_small,selected_case_panel,Selected case panel: canonical__p021_loss_small,canonical__p021_loss_small,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_24_canonical_p021_loss_small.png,True,106913,"visual_review_reasons=flag_mixed_metric_winners, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement"
